Date,Discharge,BOD,TSS,OG,pH,Phenols,COD
6/8/2016,,,50,-,8,<0.1,60
6/9/2016,,,34,-,8,<0.1,54
6/10/2016,,,39,-,8,<0.1,56
6/11/2016,,,12,-,7,<0.1,50
6/12/2016,,,-,-,7,<0.1,46
6/13/2016,,,10,-,7,<0.1,12
6/14/2016,,,-,-,7,<0.1,31
6/15/2016,,,31,-,7,<0.1,36
6/16/2016,,14,20,-,7,<0.1,9
6/17/2016,,,17,-,7,<0.1,45
6/18/2016,,,26,-,7,<0.1,7
6/19/2016,,,37,-,7,<0.1,55
6/20/2016,,4,26,-,7,<0.1,60
6/21/2016,,,38,-,7,<0.1,58
6/22/2016,,,20,-,7,<0.1,26
6/23/2016,,,32,-,7,<0.1,34
6/24/2016,,,26,-,7,<0.1,45
6/25/2016,No discharge,,38,-,7,<0.1,122
6/26/2016,,,29,-,7,<0.1,52
6/27/2016,No discharge,4,69,-,7,<0.1,28
6/28/2016,,,34,-,7,<0.1,42
6/29/2016,,,46,-,7,<0.1,60
6/30/2016,No discharge,,60,-,7,<0.1,38
7/1/2016,,,No data,nil,7,<0.1,41
7/2/2016,,,No data,nil,7,<0.1,25
7/3/2016,,,10,nil,7,<0.1,31
7/4/2016,,6,No data,nil,7,<0.1,31
7/5/2016,,,12,nil,8,<0.1,21
7/6/2016,,,16,nil,7,<0.1,22
7/7/2016,,,6,nil,7,<0.1,22
7/8/2016,,,25,nil,8,<0.1,20
7/9/2016,No discharge,,33,nil,8,<0.1,140
7/10/2016,,,14,nil,8,<0.1,52
7/11/2016,,12,24,nil,7,<0.1,33
7/12/2016,,,15,nil,7,<0.1,30
7/13/2016,,,18,nil,7,<0.1,20
7/14/2016,,,No data,nil,8,<0.1,11
7/15/2016,,,18,nil,7,<0.1,19
7/16/2016,,,21,nil,7,<0.1,14
7/17/2016,,,33,nil,7,<0.1,29
7/18/2016,,,39,nil,7,<0.1,31
7/19/2016,,,33,nil,7,<0.1,25
7/20/2016,,,36,nil,7,<0.1,25
7/21/2016,,,14,nil,6,<0.1,12
7/22/2016,,,No data,nil,5,<0.1,9
7/23/2016,,,No data,nil,5,<0.1,11
7/24/2016,,,10,nil,6,<0.1,48
7/25/2016,,6,No data,nil,6,<0.1,45
7/26/2016,,,12,nil,7,<0.1,33
7/27/2016,,,18,nil,8,<0.1,60
7/28/2016,No discharge,,7,nil,7,<0.1,84
7/29/2016,,,46,nil,7,<0.1,55
7/30/2016,,,50,nil,7,<0.1,41
7/31/2016,No discharge,,585,nil,7,<0.1,233
8/1/2016,No discharge,43,No data,nil,11,<0.1,539
8/2/2016,No discharge,,84,nil,8,<0.1,232
8/3/2016,No discharge,,76,nil,7,<0.1,145
8/4/2016,No discharge,,873,nil,5,<0.1,120
8/5/2016,,,No data,nil,7,<0.1,13
8/6/2016,No discharge,,37,nil,8,<0.1,134
8/7/2016,,,48,nil,8,<0.1,28
8/8/2016,,,No data,nil,8,<0.1,42
8/9/2016,,,No data,nil,8,<0.1,51
8/10/2016,,,50,nil,7,<0.1,40
8/11/2016,,,No data,nil,7,<0.1,51
8/12/2016,,,No data,nil,7,<0.1,45
8/13/2016,,,No data,nil,8,<0.1,49
8/14/2016,,,No data,nil,No data,<0.1,51
8/15/2016,,,50,nil,8,<0.1,39
8/16/2016,,,47,nil,7,<0.1,34
8/17/2016,,,19,nil,6,<0.1,17
8/18/2016,,,10,nil,7,<0.1,43
8/19/2016,,,5,nil,7,<0.1,57
